Quote,,
Never give up - Aditya Talekar,,
Your time is limited, don't waste it living someone else's life - Steve Jobs,
The way to get started is to quit talking and begin doing,,
Life is what happens when you're busy making other plans - John Lennon,,
Success is not the key to happiness. Happiness is the key to success.,,
Keep your face always toward the sunshine—and shadows will fall behind you. - Walt Whitman,,
The only limit to our realization of tomorrow is our doubts of today. - Franklin D. Roosevelt,,
The best way to predict your future is to create it. - Abraham Lincoln,,
You must be the change you wish to see in the world. - Mahatma Gandhi,,
It always seems impossible until it's done. - Nelson Mandela,,
Success usually comes to those who are too busy to be looking for it. - Henry David Thoreau,,
Don’t watch the clock; do what it does. Keep going. - Sam Levenson,,
The future belongs to those who believe in the beauty of their dreams. - Eleanor Roosevelt,,
The only way to achieve the impossible is to believe it is possible. - Charles Kingsleigh,,
The only place where success comes before work is in the dictionary. - Vidal Sassoon,,
Hardships often prepare ordinary people for an extraordinary destiny. - C.S. Lewis,,
Don't be afraid to give up the good to go for the great. - John D. Rockefeller,,
The way to get started is to quit talking and begin doing. - Walt Disney,,
You only live once, but if you do it right, once is enough. - Mae West
I find that the harder I work, the more luck I seem to have. - Thomas Jefferson,
Whether you think you can or you think you can’t, you’re right. - Henry Ford,
The only thing standing between you and your goal is the story you keep telling yourself. - Jordan Belfort,,
Opportunities don't happen, you create them. - Chris Grosser,
Failure will never overtake me if my determination to succeed is strong enough. - Og Mandino,,
Start where you are. Use what you have. Do what you can. - Arthur Ashe,,
The best revenge is massive success. - Frank Sinatra,,
Don’t wish it were easier; wish you were better. - Jim Rohn,,
Don’t be pushed around by the fears in your mind. Be led by the dreams in your heart. - Roy T. Bennett,,
Setting goals is the first step in turning the invisible into the visible. - Tony Robbins,,
Believe in yourself and all that you are. - Christian D. Larson,,
Act as if what you do makes a difference. It does. - William James,,
Every moment is a fresh beginning. - T.S. Eliot,,
Turn your wounds into wisdom. - Oprah Winfrey,,
Life is 10% what happens to us and 90% how we react to it. - Charles R. Swindoll,,
Success is not in what you have, but who you are. - Bo Bennett,
We may encounter many defeats but we must not be defeated. - Maya Angelou,,
Perfection is not attainable, but if we chase perfection we can catch excellence. - Vince Lombardi,
What lies behind us and what lies before us are tiny matters compared to what lies within us. - Ralph Waldo Emerson,,
If you want to lift yourself up, lift up someone else. - Booker T. Washington,
We generate fears while we sit. We overcome them by action. - Dr. Henry Link,,
Don’t wait for opportunity. Create it. - George Bernard Shaw,,
Dreams don’t work unless you do. - John C. Maxwell,,
Don’t be afraid to start over. It’s a new chance to rebuild what you want.,,
If you want to achieve greatness stop asking for permission.,,
Believe you can and you're halfway there. - Theodore Roosevelt,,
Change the world by being yourself. - Amy Poehler,,
Every next level of your life will demand a different you.,,
Don’t stop until you’re proud.,,
The only person you are destined to become is the person you decide to be. - Ralph Waldo Emerson,,
Success is walking from failure to failure with no loss of enthusiasm. - Winston Churchill,,
The harder you work for something, the greater you’ll feel when you achieve it.,
Success isn’t about how much money you make; it’s about the difference you make in people’s lives. - Michelle Obama,,
Go confidently in the direction of your dreams. Live the life you have imagined. - Henry David Thoreau,,
You don’t have to be great to start, but you have to start to be great. - Zig Ziglar,
The biggest risk is not taking any risk. - Mark Zuckerberg,,
I would rather die of passion than of boredom. - Vincent van Gogh,,
Happiness is not something ready made. It comes from your own actions. - Dalai Lama,,
Success is not the absence of failure; it’s the persistence through failure. - Aisha Tyler,,
A year from now you may wish you had started today. - Karen Lamb,,
If you can dream it, you can do it. - Walt Disney,
It’s never too late to be what you might have been. - George Eliot,,
Success is a state of mind. If you want success, start thinking of yourself as a success. - Joyce Brothers,
The secret of getting ahead is getting started. - Mark Twain,,
Don’t let yesterday take up too much of today. - Will Rogers,,
Keep going. Everything you need will come to you at the perfect time.,,
Challenges are what make life interesting; overcoming them is what makes life meaningful. - Joshua J. Marine,,
You are never too old to set another goal or to dream a new dream. - C.S. Lewis,,
Only those who dare to fail greatly can ever achieve greatly. - Robert F. Kennedy,,
Great things never come from comfort zones.,,
You don’t need to see the whole staircase, just take the first step. - Martin Luther King Jr.,
Success is liking yourself, liking what you do, and liking how you do it. - Maya Angelou
If you can imagine it, you can achieve it; if you can dream it, you can become it. - William Arthur Ward
Aim for the moon. If you miss, you may hit a star. - W. Clement Stone,
Be the change you wish to see in the world. - Mahatma Gandhi,,
It does not matter how slowly you go as long as you do not stop. - Confucius,,
Failure is the condiment that gives success its flavor. - Truman Capote,,
Believe in your dreams, no matter how impossible they seem.,
Be a voice, not an echo.,
Nothing worth having comes easy.,,
Push yourself, because no one else is going to do it for you.,
Strive for progress, not perfection.,
Do something today that your future self will thank you for.,,
Don't wait for the perfect moment. Take the moment and make it perfect.,,
Success doesn’t just find you. You have to go out and get it.,,
Be so good they can’t ignore you. - Steve Martin,,
Be yourself; everyone else is already taken. - Oscar Wilde,,
The only impossible journey is the one you never begin. - Tony Robbins,,
Start each day with a positive thought and a grateful heart.,,
Be fearless in the pursuit of what sets your soul on fire.,,
Work hard in silence, let success be your noise. - Frank Ocean,
You miss 100% of the shots you don’t take. - Wayne Gretzky,,
Dream big and dare to fail. - Norman Vaughan,,
What you get by achieving your goals is not as important as what you become by achieving your goals. - Zig Ziglar,,
Do not wait to strike till the iron is hot; but make it hot by striking. - William Butler Yeats,,
Every accomplishment starts with the decision to try.,,
Don’t let what you cannot do interfere with what you can do. - John Wooden,,
Start where you are. Use what you have. Do what you can. - Arthur Ashe,,
The journey of a thousand miles begins with one step. - Lao Tzu,,
When everything seems to be going against you, remember that the airplane takes off against the wind, not with it. - Henry Ford
Tough times never last, but tough people do. - Robert H. Schuller,
